feature,Bin,WoE,Event rate,Count (%),rare_categories,Feature IV,feature_coeff_model,score_points,feature_type
ORG_GROUP,ORG_OTHER,0.3220115722890921,0.0598333715508675,0.2659059867971773,,0.0578841611129301,-0.4126984025762372,3.8345005280816493,categorical
ORG_GROUP,ORG_PRIVATE,-0.1182340553340496,0.0899498071742795,0.4195066827095053,,0.0578841611129301,-0.4126984025762372,-1.407926256788771,categorical
ORG_GROUP,ORG_STABLE,0.2724406232426624,0.0626835078389008,0.1467513251601574,,0.0578841611129301,-0.4126984025762372,3.244211710369858,categorical
ORG_GROUP,ORG_UNSTABLE,-0.306173130880192,0.1065659134394148,0.1678360053331599,,0.0578841611129301,-0.4126984025762372,-3.6458970207148584,categorical
ORG_GROUP,RARE,0.0,0.0,0.0,,0.0578841611129301,-0.4126984025762372,0.0,categorical
NAME_EDUCATION_TYPE,Higher education,0.4333941927553753,0.0538664352701665,0.2435937042697798,,0.0488897996229103,-0.4540006309758362,5.677329216379524,categorical
NAME_EDUCATION_TYPE,Lower secondary,-0.3493160528090838,0.1107438016528925,0.012296348086241,,0.0488897996229103,-0.4540006309758362,-4.575931716470346,categorical
NAME_EDUCATION_TYPE,MISSING,-0.1085250656437003,0.0891581982971711,0.7104159214334493,,0.0488897996229103,-0.4540006309758362,-1.4216446278878845,categorical
NAME_EDUCATION_TYPE,Secondary,-0.0722879278121698,0.0862588973338159,0.0336940262105297,,0.0488897996229103,-0.4540006309758362,-0.9469493856167402,categorical
NAME_EDUCATION_TYPE,RARE,0.0,0.0,0.0,,0.0488897996229103,-0.4540006309758362,0.0,categorical
CODE_GENDER,F,0.1540261303364477,0.0700117983531722,0.6580558355825826,,0.0384206609162312,-0.5332472237369958,2.369886473995698,categorical
CODE_GENDER,M,-0.2502386256169848,0.1013564117500208,0.3419360346005008,,0.0384206609162312,-0.5332472237369958,-3.8502371826492183,categorical
CODE_GENDER,RARE,0.0,0.0,8.129816916523039e-06,Missing,0.0384206609162312,-0.5332472237369958,0.0,categorical
OCCUPATION_GROUP,LOW_SKILL,-0.3225016647059464,0.1081305637982195,0.3082216838476797,,0.0746108238641635,-0.1708724962696605,-1.5900422318650793,categorical
OCCUPATION_GROUP,MANAGERS,0.2800693404030993,0.0622367805334581,0.0694936750024389,,0.0746108238641635,-0.1708724962696605,1.3808365283868056,categorical
OCCUPATION_GROUP,MISSING,0.234982532534962,0.0649207174421627,0.3127540567786413,,0.0746108238641635,-0.1708724962696605,1.1585433235573326,categorical
OCCUPATION_GROUP,SERVICE,-0.1602313439525633,0.0934473740015551,0.1150125199180514,,0.0746108238641635,-0.1708724962696605,-0.7899946934704221,categorical
OCCUPATION_GROUP,SKILLED_PRO,0.2873310721042618,0.0618143063130838,0.1945180644531885,,0.0746108238641635,-0.1708724962696605,1.4166393205734746,categorical
OCCUPATION_GROUP,RARE,0.0,0.0,0.0,,0.0746108238641635,-0.1708724962696605,0.0,categorical
NAME_FAMILY_STATUS,Civil marriage,-0.2370293089016178,0.100159583403326,0.0967936002081233,,0.0233339628193349,-0.294557188147298,-2.0145414623819486,categorical
NAME_FAMILY_STATUS,Married,0.0749244136002091,0.0753405916527206,0.6388125589411726,,0.0233339628193349,-0.294557188147298,0.6367918737210857,categorical
NAME_FAMILY_STATUS,RARE,0.0,0.0,8.129816916523039e-06,Missing,0.0233339628193349,-0.294557188147298,0.0,categorical
NAME_FAMILY_STATUS,Separated,0.0117536164771701,0.0798611111111111,0.0643881499788624,,0.0233339628193349,-0.294557188147298,0.09989544261812262,categorical
NAME_FAMILY_STATUS,Single,-0.2291612373323337,0.0994526802167276,0.1477960066339306,,0.0233339628193349,-0.294557188147298,-1.9476697473237474,categorical
NAME_FAMILY_STATUS,Widow,0.3420941423647172,0.058713596013082,0.0522015544209944,,0.0233339628193349,-0.294557188147298,2.9075004986736146,categorical
NAME_INCOME_TYPE,Commercial associate,0.0666778541820636,0.075917098807466,0.232809502130012,,0.0559164100064915,-0.145103474073106,0.2791669231848133,categorical
NAME_INCOME_TYPE,Pensioner,0.4388944220714597,0.0535868038247156,0.1794006698969139,,0.0559164100064915,-0.145103474073106,1.8375637146047434,categorical
NAME_INCOME_TYPE,RARE,-0.4865718445245889,0.125,0.0001625963383304,"Unemployed, Student, Businessman, Maternity leave",0.0559164100064915,-0.145103474073106,-2.037179606491123,categorical
NAME_INCOME_TYPE,State servant,0.3467981582139455,0.0584541614339536,0.0712090663718253,,0.0559164100064915,-0.145103474073106,1.4519749620375524,categorical
NAME_INCOME_TYPE,Working,-0.1828942024104077,0.0953850271168029,0.5164181652629183,,0.0559164100064915,-0.145103474073106,-0.7657416751271015,categorical
